"slope","intercept","R","F_statistic","p_value"
0.0076547705209014,0.0686263121206885,0.621254577117463,49.2088780154159,1
0.000364252358493303,37.9548599763974,0.021536869262521,389.54918201242,1
0.000933361208520226,-3.85131152406186,0.00959947808315514,29.3392617579318,1
0.00134665249603753,0.00680013102060948,0.232313578702392,2.72353678574573,1
1.04070472184005,-0.0172557224910172,0.605743142370175,47.6289430356757,1
-1.02219561112225e-17,0.00929000000000001,NA,NA,1
9.70357409872131e-05,2.57633257445676,0.0148266421747683,2.34776566062414,1
0.000152499999999997,-0.000343424999999992,1,NA,1
-0.00182838181726769,0.00535952046204474,0.000229535758135438,0.234868991404558,1
2.80856755782055e-07,2.28928509448756e-06,0.0281834521378093,3.42209376818832,1
3.63260944699443e-06,1.07024376987521e-06,0.0763315504427213,21.65156363799,1
0.000877971824293569,7.4834689268613,0.0760967901124051,653.067813104219,1
0.000968133409598168,0.0511748190684618,0.0702164807756491,158.590259538988,1
1.97722797096592e-05,4.59987331094897e-06,0.321359300269679,572.975881760159,1
0.000772205990148131,0.00197114511445655,0.126808753413814,70.4338776254893,1
-1.22770004677239,0.31217435118383,0.0105760559264123,0.748237314533598,1
0.0265012157744509,-0.0100243331777109,0.046276154857748,28.5306686992787,1
0.0162717901170882,9.44882578563795,0.194433583643607,38.3766492391315,1
